layerID,dec,Month,YearsBP,file_step,YearsCE,dec_year,StartYearCE,EndYearCE,StartYearBP,EndYearBP
1,1,1,21995,1,-20045,-20044.9575633128,-20050,-20041,22000,21991
2,1,2,21995,1,-20045,-20044.8742299795,-20050,-20041,22000,21991
3,1,3,21995,1,-20045,-20044.7908966461,-20050,-20041,22000,21991
4,1,4,21995,1,-20045,-20044.7075633128,-20050,-20041,22000,21991
5,1,5,21995,1,-20045,-20044.6242299795,-20050,-20041,22000,21991
6,1,6,21995,1,-20045,-20044.5408966461,-20050,-20041,22000,21991
7,1,7,21995,1,-20045,-20044.4575633128,-20050,-20041,22000,21991
8,1,8,21995,1,-20045,-20044.3742299795,-20050,-20041,22000,21991
9,1,9,21995,1,-20045,-20044.2908966461,-20050,-20041,22000,21991
10,1,10,21995,1,-20045,-20044.2075633128,-20050,-20041,22000,21991
11,1,11,21995,1,-20045,-20044.1242299795,-20050,-20041,22000,21991
12,1,12,21995,1,-20045,-20044.0408966461,-20050,-20041,22000,21991
13,2,1,21985,1,-20035,-20034.9575633128,-20040,-20031,21990,21981
14,2,2,21985,1,-20035,-20034.8742299795,-20040,-20031,21990,21981
15,2,3,21985,1,-20035,-20034.7908966461,-20040,-20031,21990,21981
16,2,4,21985,1,-20035,-20034.7075633128,-20040,-20031,21990,21981
17,2,5,21985,1,-20035,-20034.6242299795,-20040,-20031,21990,21981
18,2,6,21985,1,-20035,-20034.5408966461,-20040,-20031,21990,21981
19,2,7,21985,1,-20035,-20034.4575633128,-20040,-20031,21990,21981
20,2,8,21985,1,-20035,-20034.3742299795,-20040,-20031,21990,21981
21,2,9,21985,1,-20035,-20034.2908966461,-20040,-20031,21990,21981
22,2,10,21985,1,-20035,-20034.2075633128,-20040,-20031,21990,21981
23,2,11,21985,1,-20035,-20034.1242299795,-20040,-20031,21990,21981
24,2,12,21985,1,-20035,-20034.0408966461,-20040,-20031,21990,21981
25,3,1,21975,1,-20025,-20024.9575633128,-20030,-20021,21980,21971
26,3,2,21975,1,-20025,-20024.8742299795,-20030,-20021,21980,21971
27,3,3,21975,1,-20025,-20024.7908966461,-20030,-20021,21980,21971
28,3,4,21975,1,-20025,-20024.7075633128,-20030,-20021,21980,21971
29,3,5,21975,1,-20025,-20024.6242299795,-20030,-20021,21980,21971
30,3,6,21975,1,-20025,-20024.5408966461,-20030,-20021,21980,21971
31,3,7,21975,1,-20025,-20024.4575633128,-20030,-20021,21980,21971
32,3,8,21975,1,-20025,-20024.3742299795,-20030,-20021,21980,21971
33,3,9,21975,1,-20025,-20024.2908966461,-20030,-20021,21980,21971
34,3,10,21975,1,-20025,-20024.2075633128,-20030,-20021,21980,21971
35,3,11,21975,1,-20025,-20024.1242299795,-20030,-20021,21980,21971
36,3,12,21975,1,-20025,-20024.0408966461,-20030,-20021,21980,21971
37,4,1,21965,1,-20015,-20014.9575633128,-20020,-20011,21970,21961
38,4,2,21965,1,-20015,-20014.8742299795,-20020,-20011,21970,21961
39,4,3,21965,1,-20015,-20014.7908966461,-20020,-20011,21970,21961
40,4,4,21965,1,-20015,-20014.7075633128,-20020,-20011,21970,21961
41,4,5,21965,1,-20015,-20014.6242299795,-20020,-20011,21970,21961
42,4,6,21965,1,-20015,-20014.5408966461,-20020,-20011,21970,21961
43,4,7,21965,1,-20015,-20014.4575633128,-20020,-20011,21970,21961
44,4,8,21965,1,-20015,-20014.3742299795,-20020,-20011,21970,21961
45,4,9,21965,1,-20015,-20014.2908966461,-20020,-20011,21970,21961
46,4,10,21965,1,-20015,-20014.2075633128,-20020,-20011,21970,21961
47,4,11,21965,1,-20015,-20014.1242299795,-20020,-20011,21970,21961
48,4,12,21965,1,-20015,-20014.0408966461,-20020,-20011,21970,21961
49,5,1,21955,1,-20005,-20004.9575633128,-20010,-20001,21960,21951
50,5,2,21955,1,-20005,-20004.8742299795,-20010,-20001,21960,21951
51,5,3,21955,1,-20005,-20004.7908966461,-20010,-20001,21960,21951
52,5,4,21955,1,-20005,-20004.7075633128,-20010,-20001,21960,21951
53,5,5,21955,1,-20005,-20004.6242299795,-20010,-20001,21960,21951
54,5,6,21955,1,-20005,-20004.5408966461,-20010,-20001,21960,21951
55,5,7,21955,1,-20005,-20004.4575633128,-20010,-20001,21960,21951
56,5,8,21955,1,-20005,-20004.3742299795,-20010,-20001,21960,21951
57,5,9,21955,1,-20005,-20004.2908966461,-20010,-20001,21960,21951
58,5,10,21955,1,-20005,-20004.2075633128,-20010,-20001,21960,21951
59,5,11,21955,1,-20005,-20004.1242299795,-20010,-20001,21960,21951
60,5,12,21955,1,-20005,-20004.0408966461,-20010,-20001,21960,21951
61,6,1,21945,1,-19995,-19994.9575633128,-20000,-19991,21950,21941
62,6,2,21945,1,-19995,-19994.8742299795,-20000,-19991,21950,21941
63,6,3,21945,1,-19995,-19994.7908966461,-20000,-19991,21950,21941
64,6,4,21945,1,-19995,-19994.7075633128,-20000,-19991,21950,21941
65,6,5,21945,1,-19995,-19994.6242299795,-20000,-19991,21950,21941
66,6,6,21945,1,-19995,-19994.5408966461,-20000,-19991,21950,21941
67,6,7,21945,1,-19995,-19994.4575633128,-20000,-19991,21950,21941
68,6,8,21945,1,-19995,-19994.3742299795,-20000,-19991,21950,21941
